"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"1439","CENTRO DE RECEPCION DE MENORES","890804256","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","3","8","0","1","0","4","0","0","0","1","0","2","1","7","1","3","3","1","0","3","1","3","2,517,956,000,000"
"1440","CENTRO DE SALUD BELEN","814001677","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","8","0","2","0","1","0","0","0","3","0","0","3","7","0","3","1","2","1","3","0","3","1,423,264,300,000"
"1442","HOSPITAL FRONTERIZO LA DORADA","846002309","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","4","0","0","0","5","0","0","0","0","0","4","1","4","1","0","4","2","3","1","0","0","2,864,950,000,000"
"1443","HOSPITAL EL PEÑON SANTANDER","900000615","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","4","0","0","0","4","0","0","0","0","2","2","0","2","0","1","2","1","1","0","1","1","2,049,730,000,000"
"1444","CENTRO DE SALUD FUNES - NARIÑO","900128655","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","6","0","1","0","3","0","0","0","1","2","3","0","2","0","2","2","1","0","2","0","1","1,909,435,285,714"
"1445","CENTRO DE SALUD LA BUENA ESPERANZA","900136920","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","9","2","5","0","0","0","0","0","8","2","2","3","9","0","11","1","0","2","2","0","11","1,929,344,437,500"
"1446","EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANGELINES DEL MUNICIPIO DE PUERTO LEGUIZAMO","846000678","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","14","1","1","0","0","0","0","0","2","1","3","5","12","5","10","2","3","4","7","0","9","2,107,384,038,461"
"1450","CENTRO DE SALUD SAN GABRIEL ARCANGEL - VILLAGARZON","846001620","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","11","23","0","6","0","3","0","0","0","11","1","2","15","9","7","13","6","7","5","2","1","11","2,311,186,000,000"
"1451","ESE HOSPITAL SANTO DOMINGO SAVIO","804005555","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","9","0","1","0","2","0","0","0","5","0","3","1","3","4","4","2","1","2","2","0","4","1,818,653,090,909"
"1457","CENTRO HOSPITAL SAN JUAN BAUTISTA","900127211","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","12","0","0","0","3","0","0","0","13","1","5","3","7","0","14","2","0","0","0","0","13","2,755,741,000,000"
"1462","CENTRO TECNOLOGICO DE CUCUTA","7807009100","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","15","0","7","0","7","0","0","0","0","1","7","9","6","0","2","12","9","0","0","0","0","3,328,728,652,173"
"1465","EMPRESA DE SERVICIOS PUBLICOS DE VIOTA S.A.S. E.SP.","891800745","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","1","0","2","0","3","0","0","0","6","0","3","7","3","0","6","6","0","1","0","0","5","2,619,634,200,000"
"1467","COLEGIO INTEGRADO NACIONAL ORIENTE DE CALDAS","890802678","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","49","33","2","3","0","25","0","0","2","0","10","32","19","20","1","34","36","8","4","0","0","6","3,032,243,000,000"
"1468","COLEGIO MAYOR DE ANTIOQUIA INSTITUCION UNIVERSITARIA","890980134","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","51","65","0","9","0","8","0","0","21","0","3","22","46","38","7","15","39","33","21","6","2","9","7,157,907,735,849"
"1469","COLEGIO MAYOR DEL CAUCA - POPAYAN-","8915007591","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","ADSCRITAS","ESTABLECIMIENTO PÚBLICO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1,781,412,000,000"
"1473","COMERCIALIZADORA MERCABASTOS","824002182","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","5","0","3","0","1","0","0","0","2","0","2","4","3","0","5","3","0","1","0","0","2","2,995,518,888,888"
"1476","CONCEJO DE RONCESVALLES","809005033","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1,235,960,000,000"
"1477","CONCEJO DE BARRANQUILLA, DISTRITO ESPECIAL, INDUSTRIAL Y PORTUARIO","NULL","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO DISTRITAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","19","20","0","4","0","4","0","0","0","20","0","6","7","15","11","28","5","2","0","4","0","28","3,460,135,487,179"
"1478","CONCEJO DE BELEN DE UMBRIA","891480024","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1,543,169,000,000"
"1480","CONCEJO DE COPER","891801363","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","908,526,000,000"
"1482","CONCEJO DE PALMAR DE VARELA","802002775","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1,312,000,000,000"
"1487","CONCEJO DE PARAMO","800099819","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","5","3","0","0","0","3","0","0","0","4","1","2","2","3","0","5","3","0","0","0","0","4","1,063,400,000,000"
"1488","CONCEJO DE ANCUYA","814001665","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","3,691,591,000,000"
"1490","CONCEJO DE CHINU","812003936","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2,040,157,000,000"
"1491","CONCEJO DE NUNCHIA","844001045","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","2","0","8","0","1","0","0","0","0","0","0","6","3","0","2","5","1","1","0","0","1","1,417,608,000,000"
"1493","CONCEJO DE PITAL","891180199","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1,150,436,000,000"
"1494","CONCEJO DE ABEJORRAL","890981195","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1,365,426,000,000"
"1495","CONCEJO DE ACACIAS","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","5","0","9","0","6","0","0","0","0","1","6","6","4","0","1","13","0","3","0","0","0","1,535,259,000,000"
"1496","CONCEJO DE ACANDI","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","1,227,113,000,000"
"1497","CONCEJO DE ACEVEDO","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1,796,604,000,000"
"1498","CONCEJO DE ACHI","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","3,691,591,000,000"
"1499","CONCEJO DE AGUA DE DIOS","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1,355,041,000,000"
"1500","CONCEJO DE AGUACHICA","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","2,734,254,000,000"
"1502","CONCEJO DE AGUADAS","890801132","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","1,965,125,000,000"
"1503","CONCEJO DE AGUSTIN CODAZZI","824000548","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1,815,438,000,000"
"1505","CONCEJO DE ALBAN -- ALBAN, CUNDINAMARCA","899999450","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1,366,506,000,000"
"1506","CONCEJO DE ALBAN -- ALBAN, NARIÑO","814002964","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","3,691,591,000,000"
"1507","CONCEJO DE ALBANIA -- ALBANIA, CAQUETA","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","780,000,000,000"
"1508","CONCEJO DE ALBANIA","825001629","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3,201,763,000,000"
"1509","CONCEJO DE ALCALA","891901079","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1,277,630,000,000"
"1510","CONCEJO DE ALEJANDRIA","890983701","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1,100,000,000,000"
"1511","CONCEJO DE ALGARROBO","819003480","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","3","0","2","0","1","0","0","0","6","0","5","4","2","0","7","1","3","0","0","0","6","1,300,000,000,000"
"1516","CONCEJO DE AMAGA","890981732","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","1,682,303,000,000"
"1517","CONCEJO DE AMBALEMA","809012703","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","1","897,620,000,000"
"1519","CONCEJO DE ANDALUCIA","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","2,033,300,000,000"
"1520","CONCEJO DE ANDES","890980342","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","1,513,350,000,000"
"1522","CONCEJO DE ANOLAIMA","899999426","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2,120,005,000,000"
"1524","CONCEJO DE ANSERMA DE LOS CABALLEROS","890801139","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1,366,998,000,000"
"1525","CONCEJO DE ANZA","890983824","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1,300,000,000,000"
"1528","CORPORACION PARA EL DESARROLLO SOSTENIBLE DE LA MOJANA Y EL SAN JORGE","823000077","NACIONAL",,,,,,,"NO APLICA","NO APLICA","NO APLICA","NO APLICA","ORGANOS AUTÓNOMOS",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","13","6","0","4","0","3","0","0","0","4","0","2","1","11","5","4","3","1","8","2","1","4","4,434,693,052,631"
"1529","CONCEJO DE ARACATACA","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","1,041,000,000,000"
"1530","CONCEJO DE ARANZAZU","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1,295,162,000,000"
"1531","CONCEJO DE ARBOLEDA (BERRUECOS)","814004404","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","3,691,591,000,000"
"1532","CONCEJO DE ARBOLEDAS","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","2","2","6","0","1","0","0","0","0","2","1","4","3","0","5","2","3","0","0","0","1","1,133,872,000,000"
"1533","CONCEJO DE ARBOLETES","900055067","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","12","2","0","13","0","0","0","0","0","0","1","4","5","3","1","8","6","0","0","0","0","7","1,770,589,000,000"
"1535","CONCEJO DE ARENAL","8060068569","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3,691,591,000,000"
"1538","CONCEJO DE ARIGUANI (EL DIFICIL)","8190006293","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","7","0","0","0","1","0","0","0","13","0","6","4","4","0","13","0","1","0","0","0","13","1,920,314,000,000"
"1539","CONCEJO DE ARJONA","8060059928","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","3,691,591,000,000"
"1542","CONCEJO DE ARROYOHONDO","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3,691,591,000,000"
"1544","CONCEJO DE ATRATO","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","99,070,000,000"
"1545","CONCEJO DE AYAPEL","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","2","0","0","0","0","0","0","0","0","2","0","0","0","2","0","2","0","0","0","0","0","2","1,335,837,500,000"
"1546","CONCEJO DE BAGADO","818000828","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1,331,000,000,000"
"1547","CONCEJO DE BAHIA SOLANO (MUTIS)","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","6","4","0","1","0","1","0","0","0","8","0","1","3","5","1","10","0","0","0","0","0","10","1,680,000,000,000"
"1548","CONCEJO DE BAJO BAUDO (PIZARRO)","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","1,497,317,000,000"
"1549","CONCEJO DE BALBOA -- BALBOA, CAUCA","891500869","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","737,717,000,000"
"1553","CONCEJO DE BARRANCA DE UPIA","822005082","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","2","0","2","0","1","0","0","0","0","0","2","1","0","0","0","3","0","0","0","0","0","0"
"1554","CONCEJO DE BARRANCO DE LOBA","900307781","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","3,691,591,000,000"
"1555","CONCEJO DE BECERRIL","824000591","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","4","2","0","0","0","0","0","0","0","6","1","0","3","2","0","6","0","0","0","0","0","6","0"
"1559","CONCEJO DE BELEN ANDAQUIES","828002553","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","9","2","0","1","0","1","0","0","0","9","1","3","2","5","0","9","1","1","0","0","0","9","0"
"1560","CONCEJO DE BELMIRA","890981880","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","7","2","0","2","0","1","0","0","0","6","1","0","2","4","2","7","1","1","0","0","0","7","1,407,925,000,000"
"1562","CONCEJO DE BOCHALEMA","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","828,116,000,000"
"1564","CONCEJO DE BOJAYA (BELLAVISTA)","8000703758","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","1,300,000,000,000"
"1565","CONCEJO DE BOLIVAR","NULL","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","NO APLICA","NO APLICA","CONCEJO MUNICIPAL",,,"2025","3","Fuente: Función Pública, SIGEP II Junio 2025","8","3","1","2","0","0","0","0","0","8","0","2","5","4","0","11","0","0","0","0","0","11","0"
